Album;Rok;Médium;Číslo;Název skladby;Autor hudby;Autor textu;Vydavatelství;Poznámka
Písně Amerického Západu;1969;LP;1;Přes pláně;americká lidová;Jindřich Pokorný;Panton;
Písně Amerického Západu;1969;LP;2;Širý proud;americká lidová;Jiří Tichota;Panton;
Písně Amerického Západu;1969;LP;3;Vůz do Tennessee;americká lidová;Mirek Hoffmann;Panton;
Písně Amerického Západu;1969;LP;4;Kovbojův nářek;americká lidová;Stanislav Mareš;Panton;
Písně Amerického Západu;1969;LP;5;Má whisky;americká lidová;Jan Vyčítal;Panton;text: Vyčítal
Písně Amerického Západu;1969;LP;6;Doney Gal;americká lidová;Vlastimil Marhoul;Panton;
Písně Amerického Západu;1969;LP;7;Jesse James;americká lidová;Stanislav Mareš;Panton;
Písně Amerického Západu;1969;LP;8;John Hardy;americká lidová;Jiří Volja;Panton;
Písně Amerického Západu;1969;LP;9;Červená řeka;americká lidová;Jan Vyčítal;Panton;text: Vyčítal
Písně Amerického Západu;1969;LP;10;Drnová chajda;americká lidová;Stanislav Mareš;Panton;
Písně Amerického Západu;1969;LP;11;Čekání na vlak;americká lidová;Marko Čermák;Panton;
Písně Amerického Západu;1969;LP;12;T jako Texas;Jimmie Rodgers;Jan Vyčítal;Panton;text: Vyčítal
Greenhorns '71;1971;LP;1;Blues folsomské věznice;Johnny Cash;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '71;1971;LP;2;Žádnej vlak;J. Russell;Mirek Hoffmann;Panton;produkce: Vyčítal
Greenhorns '71;1971;LP;3;Co se bude dít;Bob Dylan;Mirek Hoffmann;Panton;produkce: Vyčítal
Greenhorns '71;1971;LP;4;Kamarád;americká lidová;Marko Čermák;Panton;produkce: Vyčítal
Greenhorns '71;1971;LP;5;Šest bílých koní;Tommy Cash;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '71;1971;LP;6;Oranžový expres;E. T. Rouse;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '71;1971;LP;7;Blízko Little Big Hornu;L. Payne;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '71;1971;LP;8;Když nás táta hrál;Johnny Cash;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '71;1971;LP;9;Žlutá kytka;G. Jones, B. Edwards;Mirek Hoffmann;Panton;produkce: Vyčítal
Greenhorns '71;1971;LP;10;Já v poslední době;americká lidová;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '71;1971;LP;11;Poslední den;Hank Williams;Mirek Hoffmann;Panton;produkce: Vyčítal
